Team,Games,Win-Loss,Off Rank,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Rank,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Passing Off Rank,Pass Attempts,Pass Completions,Interceptions Thrown.x,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Pass Def Rank,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Rushing Def Rank,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Rushing Off Rank,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Scoring Def Rank,Points Allowed,Avg Points per Game Allowed,Total Points,Points Per Game,Turnover Margin
Air Force (Mountain West),13,2-Nov,51,881,5483,6.22,55,421.8,17,752,4155,5.53,32,34,319.6,125,126,68,6,1602,12.71,23.56,14,123.2,51,238,377,2848,21,7.55,11.97,219.1,7,375,1307,3.49,11,100.5,2,755,3881,5.14,41,298.5,20,258,19.8,443,34.1,-2
Akron (MAC),12,0-12,130,725,2918,4.02,14,243.2,83,871,4967,5.7,51,56,413.9,100,398,205,14,2347,5.9,11.45,12,195.6,29,201,305,2405,23,7.89,11.97,200.4,116,566,2562,4.53,28,213.5,130,327,571,1.75,2,47.6,122,435,36.3,126,10.5,-15
Alabama (SEC),13,2-Nov,6,842,6640,7.89,76,510.8,20,877,4218,4.81,24,26,324.5,3,406,287,6,4449,10.96,15.5,49,342.2,11,230,410,2434,15,5.94,10.58,187.2,37,467,1784,3.82,9,137.2,56,436,2191,5.03,27,168.5,13,242,18.6,614,47.2,18
Appalachian St. (Sun Belt),14,13-1,39,969,6064,6.26,65,433.1,26,940,4705,5.01,34,35,336.1,93,370,231,6,2824,7.63,12.23,30,201.7,35,253,455,2894,20,6.36,11.44,206.7,29,485,1811,3.73,14,129.4,16,599,3240,5.41,35,231.4,21,280,20,543,38.8,15
Arizona (Pac-12),12,8-Apr,30,873,5281,6.05,42,440.1,120,889,5657,6.36,53,54,471.4,35,422,261,12,3193,7.57,12.23,23,266.1,126,282,430,3478,26,8.09,12.33,289.8,88,459,2179,4.75,27,181.6,52,451,2088,4.63,19,174,118,429,35.8,323,26.9,-3
Arizona St. (Pac-12),13,5-Aug,94,842,4837,5.74,34,372.1,67,928,5113,5.51,39,39,393.3,53,383,233,4,3235,8.45,13.88,21,248.8,115,296,465,3487,24,7.5,11.78,268.2,26,463,1626,3.51,15,125.1,115,459,1602,3.49,13,123.2,35,291,22.4,322,24.8,14
Arkansas (SEC),12,10-Feb,111,783,4081,5.21,28,340.1,110,827,5408,6.54,54,57,450.7,103,407,202,15,2315,5.69,11.46,14,192.9,69,227,341,2750,25,8.06,12.11,229.2,122,486,2658,5.47,29,221.5,85,376,1766,4.7,14,147.2,124,442,36.8,257,21.4,-5
Arkansas St. (Sun Belt),13,5-Aug,33,925,5711,6.17,50,439.3,124,1018,6218,6.11,55,56,478.3,10,469,298,11,4057,8.65,13.61,37,312.1,111,280,461,3417,23,7.41,12.2,262.8,118,557,2801,5.03,32,215.5,112,456,1654,3.63,13,127.2,114,444,34.2,438,33.7,-3
Army West Point (FBS Independent),13,8-May,89,869,4929,5.67,51,379.2,30,789,4450,5.64,37,38,342.3,129,126,59,7,1066,8.46,18.07,6,82,5,203,326,2326,16,7.13,11.46,178.9,73,463,2124,4.59,21,163.4,3,743,3863,5.2,45,297.2,41,299,23,370,28.5,-1
Auburn (SEC),13,4-Sep,64,947,5285,5.58,51,406.5,28,905,4381,4.84,31,32,337,87,397,229,6,2697,6.79,11.78,20,207.5,47,264,453,2780,21,6.14,10.53,213.8,25,452,1601,3.54,10,123.2,33,550,2588,4.71,31,199.1,17,254,19.5,432,33.2,6
Ball St. (MAC),12,7-May,16,909,5556,6.11,51,463,91,876,5096,5.82,45,47,424.7,56,373,239,7,2923,7.84,12.23,24,243.6,95,229,391,2941,11,7.52,12.84,245.1,86,485,2155,4.44,34,179.6,22,536,2633,4.91,27,219.4,94,377,31.4,418,34.8,8
Baylor (Big 12),14,3-Nov,52,948,5901,6.22,59,421.5,39,1032,5046,4.89,31,32,360.4,44,444,277,8,3571,8.04,12.89,24,255.1,49,292,485,3046,15,6.28,10.43,217.6,49,547,2000,3.66,16,142.9,61,504,2330,4.62,35,166.4,19,277,19.8,471,33.6,11
Boise St. (Mountain West),14,2-Dec,48,993,6006,6.05,58,429,33,928,4848,5.22,39,39,346.3,38,464,287,11,3664,7.9,12.77,31,261.7,77,271,474,3270,20,6.9,12.07,233.6,15,454,1578,3.48,19,112.7,59,529,2342,4.43,27,167.3,31,306,21.9,486,34.7,0
Boston College (ACC),13,7-Jun,47,964,5579,5.79,47,429.2,125,983,6223,6.33,48,49,478.7,113,305,161,6,2288,7.5,14.21,20,176,122,297,456,3711,29,8.14,12.49,285.5,100,527,2512,4.77,19,193.2,8,659,3291,4.99,27,253.2,101,418,32.2,377,29,5
Bowling Green (MAC),12,9-Mar,120,839,3829,4.56,24,319.1,117,798,5606,7.03,60,62,467.2,120,337,189,15,1888,5.6,9.99,9,157.3,64,198,297,2692,24,9.06,13.6,224.3,126,501,2914,5.82,36,242.8,65,502,1941,3.87,15,161.8,126,463,38.6,192,16,-6
Buffalo (MAC),13,5-Aug,82,937,5051,5.39,50,388.5,7,780,3795,4.87,33,35,291.9,122,278,150,6,1795,6.46,11.97,14,138.1,22,206,352,2571,18,7.3,12.48,197.8,4,428,1224,2.86,15,94.2,10,659,3256,4.94,36,250.5,26,277,21.3,409,31.5,8
BYU (FBS Independent),13,6-Jul,28,933,5769,6.18,45,443.8,68,914,5116,5.6,36,40,393.5,26,468,296,11,3701,7.91,12.5,20,284.7,65,254,399,2938,22,7.36,11.57,226,78,515,2178,4.23,14,167.5,68,465,2068,4.45,25,159.1,48,331,25.5,370,28.5,1
California (Pac-12),13,5-Aug,117,841,4271,5.08,35,328.5,65,945,5076,5.37,32,32,390.5,99,365,204,9,2561,7.02,12.55,19,197,112,309,484,3434,16,7.1,11.11,264.2,27,461,1642,3.56,16,126.3,104,476,1710,3.59,16,131.5,33,285,21.9,276,21.2,3
Central Mich. (MAC),14,6-Aug,37,999,6070,6.08,55,433.6,41,938,5082,5.42,45,49,363,48,473,290,13,3531,7.47,12.18,19,252.2,89,267,445,3363,25,7.56,12.6,240.2,24,493,1719,3.49,20,122.8,42,526,2539,4.83,36,181.4,72,396,28.3,426,30.4,-11
Charlotte (C-USA),13,6-Jul,56,848,5388,6.35,50,414.5,59,824,4952,6.01,50,56,380.9,84,321,195,14,2749,8.56,14.1,24,211.5,14,195,314,2457,23,7.82,12.6,189,97,510,2495,4.89,27,191.9,31,527,2639,5.01,26,203,103,421,32.4,388,29.8,-4
Cincinnati (AAC),14,3-Nov,80,993,5464,5.5,49,390.3,40,987,5060,5.13,32,34,361.4,107,377,208,11,2552,6.77,12.27,19,182.3,60,233,452,3119,17,6.9,13.39,222.8,44,535,1941,3.63,15,138.6,25,616,2912,4.73,30,208,24,288,20.6,415,29.6,6
Clemson (ACC),15,14-1,5,1075,7931,7.38,85,528.7,6,970,4325,4.46,24,24,288.3,23,509,326,10,4325,8.5,13.27,40,288.3,4,231,433,2584,14,5.97,11.19,172.3,19,537,1741,3.24,10,116.1,13,566,3606,6.37,45,240.4,3,203,13.5,659,43.9,15
Coastal Carolina (Sun Belt),12,7-May,74,854,4725,5.53,45,393.8,62,761,4603,6.05,48,50,383.6,97,334,217,9,2379,7.12,10.96,21,198.3,61,229,328,2682,25,8.18,11.71,223.5,70,433,1921,4.44,23,160.1,34,520,2346,4.51,24,195.5,85,366,30.5,364,30.3,0
Colorado (Pac-12),12,7-May,83,847,4662,5.5,32,388.5,104,815,5303,6.51,49,50,441.9,61,411,257,11,2858,6.95,11.12,18,238.2,123,267,406,3460,28,8.52,12.96,288.3,61,409,1843,4.51,21,153.6,79,436,1804,4.14,14,150.3,96,382,31.8,282,23.5,3
Colorado St. (Mountain West),12,8-Apr,34,841,5249,6.24,39,437.4,52,811,4529,5.58,42,47,377.4,14,446,280,11,3663,8.21,13.08,21,305.3,7,183,316,2179,19,6.9,11.91,181.6,104,495,2350,4.75,23,195.8,103,395,1586,4.02,18,132.2,91,374,31.2,337,28.1,-11
Duke (ACC),12,7-May,114,873,3956,4.53,34,329.7,56,852,4555,5.35,40,43,379.6,110,378,213,14,2152,5.69,10.1,18,179.3,24,185,353,2388,21,6.76,12.91,199,87,499,2167,4.34,19,180.6,79,495,1804,3.64,16,150.3,77,350,29.2,303,25.3,-11
East Carolina (AAC),12,8-Apr,46,900,5162,5.74,34,430.2,119,864,5632,6.52,52,53,469.3,22,451,270,10,3466,7.69,12.84,22,288.8,108,231,371,3139,24,8.46,13.59,261.6,113,493,2493,5.06,28,207.8,91,449,1696,3.78,12,141.3,111,404,33.7,321,26.8,1
Eastern Mich. (MAC),13,7-Jun,67,883,5271,5.97,48,405.5,94,922,5596,6.07,51,52,430.5,28,465,313,12,3681,7.92,11.76,27,283.2,81,241,380,3071,21,8.08,12.74,236.2,102,542,2525,4.66,30,194.2,116,418,1590,3.8,21,122.3,87,398,30.6,379,29.2,4
FIU (C-USA),13,7-Jun,91,877,4902,5.59,37,377.1,69,898,5117,5.7,42,43,393.6,83,389,223,6,2754,7.08,12.35,14,211.8,17,210,384,2535,16,6.6,12.07,195,106,514,2582,5.02,26,198.6,63,488,2148,4.4,23,165.2,63,354,27.2,344,26.5,3
Fla. Atlantic (C-USA),14,3-Nov,23,1053,6280,5.96,62,448.6,50,979,5239,5.35,40,41,374.2,29,502,314,8,3956,7.88,12.6,30,282.6,87,281,481,3342,23,6.95,11.89,238.7,33,498,1897,3.81,17,135.5,62,551,2324,4.22,32,166,40,318,22.7,510,36.4,21
Florida (SEC),13,2-Nov,45,865,5597,6.47,54,430.5,9,809,3963,4.9,23,23,304.8,16,467,317,10,3910,8.37,12.33,33,300.8,32,235,390,2627,14,6.74,11.18,202.1,8,419,1336,3.19,9,102.8,107,398,1687,4.24,21,129.8,7,201,15.5,432,33.2,5
Florida St. (ACC),13,7-Jun,60,909,5308,5.84,48,408.3,90,1039,5514,5.31,37,40,424.2,34,432,279,13,3479,8.05,12.47,24,267.6,119,308,504,3597,19,7.14,11.68,276.7,54,535,1917,3.58,18,147.5,93,477,1829,3.83,24,140.7,67,362,27.8,363,27.9,-3
Fresno St. (Mountain West),12,8-Apr,85,767,4632,6.04,44,386,88,879,5037,5.73,44,46,419.8,70,373,241,11,2721,7.29,11.29,17,226.8,107,268,434,3110,20,7.17,11.6,259.2,71,445,1927,4.33,24,160.6,67,394,1911,4.85,27,159.3,82,361,30.1,360,30,4
Ga. Southern (Sun Belt),13,6-Jul,118,821,4260,5.19,38,327.7,55,871,4929,5.66,46,47,379.2,130,155,80,1,968,6.25,12.1,9,74.5,92,242,403,3157,28,7.83,13.05,242.8,35,468,1772,3.79,18,136.3,7,666,3292,4.94,29,253.2,70,366,28.2,366,28.2,8
Georgia (SEC),14,2-Dec,61,940,5713,6.08,47,408.1,3,900,3860,4.29,18,20,275.7,72,415,255,6,3122,7.52,12.24,26,223,31,285,501,2815,16,5.62,9.88,201.1,1,399,1045,2.62,2,74.6,41,525,2591,4.94,21,185.1,1,176,12.6,431,30.8,3
Georgia St. (Sun Belt),13,6-Jul,31,981,5718,5.83,52,439.8,112,886,5922,6.68,60,62,455.5,98,385,238,9,2577,6.69,10.83,22,198.2,84,230,362,3093,27,8.54,13.45,237.9,119,524,2829,5.4,33,217.6,12,596,3141,5.27,30,241.6,121,471,36.2,406,31.2,1
Georgia Tech (ACC),12,9-Mar,127,717,3436,4.79,26,286.3,89,870,5075,5.83,45,49,422.9,124,269,124,10,1607,5.97,12.96,14,133.9,36,200,331,2492,18,7.53,12.46,207.7,117,539,2583,4.79,27,215.3,72,448,1829,4.08,12,152.4,104,389,32.4,200,16.7,-4
Hawaii (Mountain West),15,5-Oct,13,1056,7065,6.69,63,471,96,1029,6470,6.29,60,61,431.3,5,635,396,17,5056,7.96,12.77,42,337.1,67,286,484,3428,23,7.08,11.99,228.5,111,545,3042,5.58,37,202.8,100,421,2009,4.77,21,133.9,98,478,31.9,508,33.9,-11
Houston (AAC),12,8-Apr,78,780,4698,6.02,39,391.5,118,824,5610,6.81,53,54,467.5,91,314,176,12,2440,7.77,13.86,19,203.3,124,251,410,3461,29,8.44,13.79,288.4,85,414,2149,5.19,24,179.1,37,466,2258,4.85,20,188.2,113,408,34,368,30.7,-7
Illinois (Big Ten),13,7-Jun,115,857,4283,5,38,329.5,77,949,5310,5.6,40,41,408.5,105,366,198,9,2409,6.58,12.17,19,185.3,45,207,355,2768,21,7.8,13.37,212.9,103,594,2542,4.28,19,195.5,87,491,1874,3.82,19,144.2,54,340,26.2,347,26.7,10
Indiana (Big Ten),13,5-Aug,41,940,5626,5.99,48,432.8,36,853,4579,5.37,37,39,352.2,15,473,321,9,3931,8.31,12.25,24,302.4,46,219,394,2778,20,7.05,12.68,213.7,43,459,1801,3.92,17,138.5,106,467,1695,3.63,24,130.4,45,317,24.4,413,31.8,2
Iowa (Big Ten),13,3-Oct,99,864,4765,5.52,33,366.5,12,835,4007,4.8,20,21,308.2,68,411,243,7,2976,7.24,12.25,16,228.9,19,248,417,2544,14,6.1,10.26,195.7,14,418,1463,3.5,6,112.5,97,453,1789,3.95,17,137.6,5,182,14,335,25.8,9
Iowa St. (Big 12),13,6-Jul,27,896,5776,6.45,51,444.3,45,896,4801,5.36,35,39,369.3,11,484,315,9,4047,8.36,12.85,29,311.3,72,279,441,2987,22,6.77,10.71,229.8,47,455,1814,3.99,13,139.5,102,412,1729,4.2,22,133,50,337,25.9,418,32.2,-3
Kansas (Big 12),12,9-Mar,90,773,4527,5.86,35,377.3,122,927,5702,6.15,54,56,475.2,66,390,235,14,2778,7.12,11.82,25,231.5,98,240,376,2994,22,7.96,12.48,249.5,124,551,2708,4.91,32,225.7,86,383,1749,4.57,10,145.8,120,433,36.1,282,23.5,-12
Kansas St. (Big 12),13,5-Aug,103,841,4666,5.55,41,358.9,44,776,4789,6.17,31,31,368.4,108,303,181,5,2352,7.76,12.99,12,180.9,33,207,350,2638,12,7.54,12.74,202.9,76,426,2151,5.05,19,165.5,47,538,2314,4.3,29,178,27,278,21.4,385,29.6,1
Kent St. (MAC),13,6-Jul,66,905,5273,5.83,41,405.6,121,974,6155,6.32,52,52,473.5,78,355,238,2,2846,8.02,11.96,24,218.9,68,224,349,2974,18,8.52,13.28,228.8,127,625,3181,5.09,34,244.7,40,550,2427,4.41,17,186.7,97,414,31.8,380,29.2,6
Kentucky (SEC),13,5-Aug,76,830,5102,6.15,45,392.5,21,796,4220,5.3,30,32,324.6,127,257,128,8,1478,5.75,11.55,9,113.7,2,202,353,2182,9,6.18,10.8,167.8,64,443,2038,4.6,21,156.8,4,573,3624,6.32,36,278.8,14,251,19.3,353,27.2,-1
La.-Monroe (Sun Belt),12,7-May,17,868,5531,6.37,50,460.9,128,865,5802,6.71,56,61,483.5,46,412,246,12,3044,7.39,12.37,21,253.7,73,207,336,2770,25,8.24,13.38,230.8,128,529,3032,5.73,31,252.7,26,456,2487,5.45,29,207.3,127,464,38.7,379,31.6,0
Liberty (FBS Independent),13,5-Aug,32,887,5712,6.44,54,439.4,80,926,5319,5.74,45,46,409.2,21,452,257,8,3756,8.31,14.61,29,288.9,52,230,385,2853,27,7.41,12.4,219.5,96,541,2466,4.56,18,189.7,78,435,1956,4.5,25,150.5,68,365,28.1,427,32.8,2
Louisiana (Sun Belt),14,3-Nov,8,987,6918,7.01,69,494.1,47,955,5205,5.45,32,33,371.8,62,413,268,4,3314,8.02,12.37,27,236.7,21,235,410,2768,11,6.75,11.78,197.7,82,545,2437,4.47,21,174.1,6,574,3604,6.28,42,257.4,18,276,19.7,531,37.9,5
Louisiana Tech (C-USA),13,3-Oct,35,933,5679,6.09,48,436.8,53,941,4910,5.22,33,35,377.7,32,458,285,10,3490,7.62,12.25,21,268.5,90,278,463,3126,14,6.75,11.24,240.5,37,478,1784,3.73,19,137.2,57,475,2189,4.61,27,168.4,30,284,21.8,422,32.5,7
Louisville (ACC),13,5-Aug,24,871,5815,6.68,55,447.3,102,904,5719,6.33,58,58,439.9,65,302,178,9,3048,10.09,17.12,32,234.5,79,243,406,3044,31,7.5,12.53,234.2,112,498,2675,5.37,27,205.8,24,569,2767,4.86,23,212.8,109,434,33.4,430,33.1,-1
LSU (SEC),15,15-0,1,1080,8527,7.9,93,568.5,31,1008,5153,5.11,39,42,343.5,2,567,426,7,6024,10.62,14.14,61,401.6,59,264,521,3341,20,6.41,12.66,222.7,21,487,1812,3.72,19,120.8,60,513,2503,4.88,32,166.9,32,328,21.9,726,48.4,10
Marshall (C-USA),13,5-Aug,73,887,5119,5.77,37,393.8,57,891,4935,5.54,39,41,379.6,95,355,200,11,2605,7.34,13.03,16,200.4,75,239,410,3011,16,7.34,12.6,231.6,56,481,1924,4,23,148,35,532,2514,4.73,21,193.4,47,325,25,335,25.8,-2
Maryland (Big Ten),12,9-Mar,109,767,4121,5.37,39,343.4,109,906,5390,5.95,50,53,449.2,114,342,172,12,2088,6.11,12.14,16,174,116,264,405,3255,23,8.04,12.33,271.3,83,501,2135,4.26,27,177.9,55,425,2033,4.78,23,169.4,115,416,34.7,303,25.3,-5
Massachusetts (FBS Independent),12,11-Jan,126,822,3517,4.28,29,293.1,130,867,6734,7.77,82,86,561.2,117,392,218,16,2022,5.16,9.28,15,168.5,109,217,318,3145,32,9.89,14.49,262.1,130,549,3589,6.54,50,299.1,114,430,1495,3.48,14,124.6,130,632,52.7,237,19.8,1
Memphis (AAC),14,2-Dec,10,992,6791,6.85,65,485.1,61,999,5369,5.37,42,45,383.5,17,441,281,11,4177,9.47,14.86,33,298.4,20,219,413,2742,15,6.64,12.52,195.9,93,586,2627,4.48,27,187.6,39,551,2614,4.74,32,186.7,58,370,26.4,566,40.4,-1
Miami (FL) (ACC),13,7-Jun,98,844,4774,5.66,43,367.2,13,849,4028,4.74,29,30,309.8,52,437,255,10,3239,7.41,12.7,27,249.2,18,208,379,2538,16,6.7,12.2,195.2,17,470,1490,3.17,13,114.6,120,407,1535,3.77,16,118.1,23,263,20.2,334,25.7,3
Miami (OH) (MAC),14,6-Aug,122,870,4328,4.97,33,309.1,60,1014,5347,5.27,50,52,381.9,111,337,183,10,2495,7.4,13.63,11,178.2,40,259,436,2929,26,6.72,11.31,209.2,81,578,2418,4.18,24,172.7,105,533,1833,3.44,22,130.9,69,394,28.1,338,24.1,2
Michigan (Big Ten),13,4-Sep,68,905,5220,5.77,51,401.5,11,846,3994,4.72,36,37,307.2,50,410,228,9,3261,7.95,14.3,25,250.8,10,198,345,2412,16,6.99,12.18,185.5,22,501,1582,3.16,20,121.7,77,495,1959,3.96,26,150.7,25,269,20.7,412,31.7,0
Michigan St. (Big Ten),13,6-Jul,95,932,4835,5.19,29,371.9,18,843,4181,4.96,35,37,321.6,55,464,270,15,3182,6.86,11.79,17,244.8,37,241,403,2702,24,6.7,11.21,207.8,16,440,1479,3.36,11,113.8,113,468,1653,3.53,12,127.2,37,293,22.5,291,22.4,-2
Middle Tenn. (C-USA),12,8-Apr,59,771,4900,6.36,40,408.3,114,888,5512,6.21,42,43,459.3,63,367,227,9,2837,7.73,12.5,22,236.4,113,271,415,3184,23,7.67,11.75,265.3,101,473,2328,4.92,19,194,53,404,2063,5.11,18,171.9,81,359,29.9,316,26.3,3
Minnesota (Big Ten),13,2-Nov,42,883,5616,6.36,56,432,10,787,3986,5.06,32,37,306.6,47,323,212,8,3293,10.2,15.53,31,253.3,9,200,357,2395,14,6.71,11.98,184.2,23,430,1591,3.7,18,122.4,46,560,2323,4.15,25,178.7,37,293,22.5,443,34.1,4
